Hospital,Latitude,Longitude
Mbabane Government Hospital,-26.3054,31.1617
Raleigh Fitkin Memorial Hospital,-26.4988,31.3807
Good Shepherd Hospital,-26.45,31.95
Hlatikhulu Government Hospital,-27.2028,31.3500
Manzini Clinic,-26.4833,31.3667
Siteki Clinic,-26.45,31.95
Mankayane Hospital,-26.5,31.3333
Pigg's Peak Hospital,-26.7,31.1
Lobamba Clinic,-26.4465,31.2064
Nkambeni,-26.65,31.95
Bulembu Hospital,-25.95,31.1333
Nsoko Hospital,-27.0333,31.95
Mhlumeni Hospital,-26.25,32.1
Skombeni Hospital,-26.4,31.35
Mahlanya Hospital,-26.5,31.2833
Malkerns Hospital,-26.5667,31.1833
Luyengo Clinic,-26.5333,31.2333
Usutu Hospital,-26.5833,31.1833
Mahamba Hospital,-27.1,31.0833
Dwaleni Hospital,-27.1667,31.2667
Horo Hospital,-25.75,31.4167
Darkton Clinic,-26.2333,31.0333
Macnab Hospital,-26.4167,31.5833
Ngonini Clinic,-25.7667,31.3833
Herefords Clinic,-25.8333,31.5
Lomati Clinic,-25.8167,31.35
Mhlosheni Hospital,-27.1833,31.3833
Bennets Clinic,-25.95,31.5167
Mooihoek Clinic,-26.9667,31.4667
Madlangampisi Clinic,-26.0833,31.55
Balegane Clinic,-26.1,31.5667
Commissie Nek Clinic,-26.3333,31.2333
Eswatini Private Hospital, -26.423350647514205, 31.184687712450295
